Platform ID No.,Platform,Prg No.,Pass dur. (s),Msg Date,Sat.,Alarm,Format name,Loc. date,Longitude,Latitude,Altitude,Heading,Speed,Loc. quality,Frequency,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Comp.,Msg,> - 120 DB,Best level,Delta freq.,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,SENSOR 01,SENSOR 02,SENSOR 03,SENSOR 04,SENSOR 05,SENSOR 06,SENSOR 07
34406,,6298,300,20-08-2017 07:26:44,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:25:31,27.6526,44.60232,0.070,,,2,401663997.56,27.6526,44.60232,27.6526,44.60232,56,3,1,4,1,-119,663997.6,326,639,165,61,292,00,01,31,30,C2,FE,BF
34407,,6298,360,20-08-2017 07:26:49,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:25:47,27.64947,44.60048,0.070,,,2,401663979.80,27.64947,44.60048,27.64947,44.60048,56,3,1,6,3,-118,663979.8,370,1006,135,65,259,00,01,20,,,,
34403,,6298,360,20-08-2017 07:26:54,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:23:08,27.64301,44.61038,0.045,,,3,401663652.33,27.64301,44.61038,27.64301,44.61038,56,3,1,4,0,-122,663652.3,177,209,149,23,315,00,01,91,90,96,8F,26
34400,,6298,416,20-08-2017 07:27:04,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:25:32,27.63728,44.61082,0.045,,,3,401663769.49,27.63728,44.61082,27.63728,44.61082,56,3,1,6,1,-119,663769.5,242,578,101,60,248,00,01,35,34,BC,8A,DF
34407,,6298,360,20-08-2017 07:27:43,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:25:47,27.64947,44.60048,0.070,,,2,401663979.80,27.64947,44.60048,27.64947,44.60048,56,3,1,6,3,-118,663979.8,370,1006,135,65,259,01,3B,9F,A5,C3,F1,21
34406,,6298,300,20-08-2017 07:27:48,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:25:31,27.6526,44.60232,0.070,,,2,401663997.56,27.6526,44.60232,27.6526,44.60232,56,3,1,4,1,-119,663997.6,326,639,165,61,292,01,3B,C6,FC,DE,29,9F
34400,,6298,416,20-08-2017 07:28:04,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:25:32,27.63728,44.61082,0.045,,,3,401663769.49,27.63728,44.61082,27.63728,44.61082,56,3,1,6,1,-119,663769.5,242,578,101,60,248,01,3B,E3,D9,BC,14,FC
34418,,6298,304,20-08-2017 07:28:29,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:25:39,27.64775,44.60455,0.058,,,3,401664032.50,27.64775,44.60455,27.64775,44.60455,56,3,1,5,0,-121,664032.5,238,655,86,68,308,02,C3,12,D3,97,99,FB
34407,,6298,360,20-08-2017 07:28:49,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:25:47,27.64947,44.60048,0.070,,,2,401663979.80,27.64947,44.60048,27.64947,44.60048,56,3,1,6,3,-118,663979.8,370,1006,135,65,259,02,C8,12,D8,A2,1E,06
34400,,6298,416,20-08-2017 07:29:00,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:25:32,27.63728,44.61082,0.045,,,3,401663769.49,27.63728,44.61082,27.63728,44.61082,56,3,1,6,1,-119,663769.5,242,578,101,60,248,02,C7,12,D7,F9,ED,BB
